lon,lat,owner,watershed,type,form
-92.05148179,30.14776428,CITY-ROW,CASEY NORTH,CURB INLET,
-92.06193453,30.16435232,CITY-ROW,CASEY NORTH,CURB INLET,
-92.06558448,30.1644251,CITY-ROW,BILBO BASIN,CURB INLET,
-92.06803227,30.1632535,CITY-ROW,BILBO BASIN,CURB INLET,
-92.04946831,30.17565364,CITY-ROW,BILBO BASIN,CURB INLET,
-92.05086822,30.1688339,CITY-ROW,BILBO BASIN,CURB INLET,
-92.04442082,30.14902668,CITY-ROW,CASEY NORTH,CURB INLET,
-92.0449688,30.14864777,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.04490527,30.14859799,CITY-ROW,BILBO BASIN,CURB INLET,
-92.04401461,30.14848822,CITY-ROW,BILBO BASIN,CURB INLET,
-92.04397043,30.14864719,CITY-ROW,PLACENTIA,CURB INLET,
-92.06846821,30.16656418,CITY-ROW,CASEY NORTH,CURB INLET,
-92.06881455,30.16554328,CITY-ROW,BILBO BASIN,CURB INLET,
-92.06252512,30.16364562,CITY-ROW,BILBO BASIN,CURB INLET,
-92.06673463,30.16309142,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.08068251,30.21116345,CITY-ROW,BILBO BASIN,CURB INLET,
-91.99465209,30.21087237,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.05688652,30.23332288,CITY-ROW,BILBO BASIN,CURB INLET,
-92.05688959,30.23379588,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.01388956,30.20365496,CITY-ROW,BILBO BASIN,CURB INLET,
-92.09196122,30.19834298,CITY-ROW,BILBO BASIN,CURB INLET,
-92.05843917,30.1736187,CITY-ROW,BILBO BASIN,CURB INLET,
-91.99375427,30.21323683,CITY-ROW,BILBO BASIN,CURB INLET,
-91.9934011,30.21364088,CITY-ROW,BILBO BASIN,CURB INLET,
-92.05193754,30.14320552,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.03868522,30.17681967,CITY-ROW,BILBO BASIN,CURB INLET,
-92.00871831,30.25574208,CITY-ROW,BILBO BASIN,CURB INLET,
-92.05512074,30.19818548,CITY-ROW,BILBO BASIN,CURB INLET,
-92.05514026,30.1984073,CITY-ROW,BILBO BASIN,CURB INLET,
-91.98461834,30.21655984,CITY-ROW,BILBO BASIN,CURB INLET,
-92.04782021,30.15591257,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.06859269,30.16446992,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.07530622,30.20661233,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.07550202,30.20633777,CITY-ROW,BILBO BASIN,CURB INLET,
-92.07543425,30.20466159,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.05581149,30.18290083,CITY-ROW,BILBO BASIN,CURB INLET,
-92.05583028,30.18186954,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.05619043,30.18143148,CITY-ROW,BILBO BASIN,CURB INLET,
-92.05629342,30.18017481,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.05358494,30.18037421,CITY-ROW,BILBO BASIN,CURB INLET,
-92.05491102,30.18145128,CITY-ROW,BILBO BASIN,CURB INLET,
-92.0515269,30.1826981,CITY-ROW,BILBO BASIN,CURB INLET,
