lon,lat,owner,watershed,type,form
-92.04233154,30.220165,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.04218681,30.21800301,CITY-ROW,,CURB INLET,
-92.04218353,30.21074041,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.04216167,30.21993788,CITY-ROW,HARMON,GRATE INLET,
-92.04207893,30.21401008,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.04207071,30.21401505,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.04206126,30.21083682,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.04201412,30.21934718,CITY-ROW,PLACENTIA,CURB INLET,
-92.04186495,30.21415222,CITY-ROW,BILBO BASIN,CURB INLET,
-92.04185802,30.21415786,CITY-ROW,FELL STREET,CURB INLET,
-92.04182755,30.21823843,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.04181658,30.21410115,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.04180888,30.21410657,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.04179666,30.21949276,CITY-ROW,BILBO BASIN,CURB INLET,
-92.04164978,30.21893739,CITY-ROW,WILSHIRE,CURB INLET,
-92.04146598,30.21003692,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.04143198,30.21908196,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.03942716,30.22470527,CITY-ROW,PLACENTIA,CURB INLET,
-92.03937804,30.22463966,CITY-ROW,WINDSOR,CURB INLET,
-92.03932802,30.22377388,CITY-ROW,CASEY SOUTH,GRATE INLET,
-92.03920091,30.22483609,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.03865844,30.23564211,CITY-ROW,CASEY SOUTH,GRATE INLET,
-92.03851379,30.22723997,CITY-ROW,CASEY SOUTH,GRATE INLET,
-92.03842603,30.22726717,CITY-ROW,CASEY NORTH,CURB INLET,
-92.03838952,30.22072434,CITY-ROW,BILBO BASIN,CURB INLET,
-92.03831215,30.22436417,CITY-ROW,WILSHIRE,CURB INLET,
-92.03827628,30.22339207,CITY-ROW,CASEY SOUTH,GRATE INLET,
-92.03825021,30.23564071,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.0382181,30.22332734,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.03818852,30.224982,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.03818715,30.2316603,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.03814065,30.22485928,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.038094,30.23170376,CITY-ROW,PLACENTIA,CURB INLET,
-92.03805276,30.22552121,CITY-ROW,BILBO BASIN,CURB INLET,
-92.03804243,30.22484691,CITY-ROW,BILBO BASIN,CURB INLET,
-92.03797697,30.23563514,CITY-ROW,BILBO BASIN,CURB INLET,
-92.03796195,30.22550666,CITY-ROW,CASEY NORTH,CURB INLET,
-92.03783762,30.23105654,CITY-ROW,BILBO BASIN,CURB INLET,
-92.03780004,30.22107997,CITY-ROW,WILSHIRE,CURB INLET,
-92.03772267,30.23563268,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.03769975,30.22096287,CITY-ROW,ST. AUGUSTINE CREEK,CURB INLET,
-92.0376585,30.23114916,CITY-ROW,CASEY NORTH,CURB INLET,
-92.03764926,30.22484209,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.03764409,30.22492733,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.03756848,30.2212194,CITY-ROW,LITTLE OGEECHEE,CURB INLET,
-92.03747744,30.22110717,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.03745578,30.23563649,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.03744546,30.23057883,CITY-ROW,BILBO BASIN,CURB INLET,
-92.03741309,30.22491138,CITY-ROW,CASEY NORTH,CURB INLET,
-92.03740834,30.22482332,CITY-ROW,WINDSOR,CURB INLET,
-92.03733265,30.22384414,CITY-ROW,CASEY SOUTH,GRATE INLET,
-92.03732786,30.22394323,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.03732306,30.22309352,CITY-ROW,CASEY SOUTH,GRATE INLET,
-92.03727506,30.22304584,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.03712856,30.22300777,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.0370824,30.22994047,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.03704323,30.23219617,CITY-ROW,CASEY NORTH,CURB INLET,
-92.03703866,30.22987745,CITY-ROW,CASEY NORTH,CURB INLET,
-92.03703751,30.22639089,CITY-ROW,BILBO BASIN,CURB INLET,
-92.03702786,30.22320269,CITY-ROW,CASEY NORTH,CURB INLET,
-92.03698799,30.22661887,CITY-ROW,CASEY NORTH,CURB INLET,
-92.03693719,30.23161224,CITY-ROW,BILBO BASIN,CURB INLET,
-92.03689001,30.2260799,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.03688995,30.2300328,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.03688892,30.2315502,CITY-ROW,WINDSOR,CURB INLET,
-92.0368753,30.22633203,CITY-ROW,BILBO BASIN,CURB INLET,
-92.0368632,30.22625333,CITY-ROW,BILBO BASIN,CURB INLET,
-92.03684623,30.22997157,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.03676662,30.2295501,CITY-ROW,CASEY NORTH,CURB INLET,
